Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GR","Rice Cultivation","004","Afghanistan","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","208000","A","Official figure",""
"GR","Rice Cultivation","004","Afghanistan","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","29.12","E","Estimated value",""
"GR","Rice Cultivation","004","Afghanistan","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","147555","A","Official figure",""
"GR","Rice Cultivation","004","Afghanistan","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","20.6577","E","Estimated value",""
"GR","Rice Cultivation","031","Azerbaijan","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","1640","A","Official figure",""
"GR","Rice Cultivation","031","Azerbaijan","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","0.4592","E","Estimated value",""
"GR","Rice Cultivation","031","Azerbaijan","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","3001","A","Official figure",""
"GR","Rice Cultivation","031","Azerbaijan","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","0.8403","E","Estimated value",""
"GR","Rice Cultivation","050","Bangladesh","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","11529000","A","Official figure",""
"GR","Rice Cultivation","050","Bangladesh","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","1145.9826","E","Estimated value",""
"GR","Rice Cultivation","050","Bangladesh","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","11417745","A","Official figure",""
"GR","Rice Cultivation","050","Bangladesh","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","1134.9239","E","Estimated value",""
"GR","Rice Cultivation","064","Bhutan","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","22815","A","Official figure",""
"GR","Rice Cultivation","064","Bhutan","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","2.6256","E","Estimated value",""
"GR","Rice Cultivation","064","Bhutan","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","12684","A","Official figure",""
"GR","Rice Cultivation","064","Bhutan","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","1.4597","E","Estimated value",""
"GR","Rice Cultivation","096","Brunei Darussalam","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","1848","A","Official figure",""
"GR","Rice Cultivation","096","Brunei Darussalam","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","0.3209","E","Estimated value",""
"GR","Rice Cultivation","096","Brunei Darussalam","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","853","A","Official figure",""
"GR","Rice Cultivation","096","Brunei Darussalam","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","0.1481","E","Estimated value",""
"GR","Rice Cultivation","116","Cambodia","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","2776507","A","Official figure",""
"GR","Rice Cultivation","116","Cambodia","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","433.2961","E","Estimated value",""
"GR","Rice Cultivation","116","Cambodia","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","2917391","I","Imputed value",""
"GR","Rice Cultivation","116","Cambodia","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","455.2822","E","Estimated value",""
"GR","Rice Cultivation","344","China, Hong Kong SAR","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","0","I","Imputed value",""
"GR","Rice Cultivation","344","China, Hong Kong SAR","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GR","Rice Cultivation","344","China, Hong Kong SAR","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","0","I","Imputed value",""
"GR","Rice Cultivation","344","China, Hong Kong SAR","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GR","Rice Cultivation","156","China, mainland","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","29873400","A","Official figure",""
"GR","Rice Cultivation","156","China, mainland","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","5246.6652","E","Estimated value",""
"GR","Rice Cultivation","156","China, mainland","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","30080000","A","Official figure",""
"GR","Rice Cultivation","156","China, mainland","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","5282.9504","E","Estimated value",""
"GR","Rice Cultivation","158","China, Taiwan Province of","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","243862","A","Official figure",""
"GR","Rice Cultivation","158","China, Taiwan Province of","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","44.3829","E","Estimated value",""
"GR","Rice Cultivation","158","China, Taiwan Province of","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","261784","A","Official figure",""
"GR","Rice Cultivation","158","China, Taiwan Province of","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","47.6447","E","Estimated value",""
"GR","Rice Cultivation","196","Cyprus","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","0","A","Official figure",""
"GR","Rice Cultivation","408","Democratic People's Republic of Korea","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","570000","A","Official figure",""
"GR","Rice Cultivation","408","Democratic People's Republic of Korea","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","101.4817","E","Estimated value",""
"GR","Rice Cultivation","408","Democratic People's Republic of Korea","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","470295","A","Official figure",""
"GR","Rice Cultivation","408","Democratic People's Republic of Korea","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","83.7304","E","Estimated value",""
"GR","Rice Cultivation","356","India","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","42862400","A","Official figure",""
"GR","Rice Cultivation","356","India","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","4524.5549","E","Estimated value",""
"GR","Rice Cultivation","356","India","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","45000000","T","Unofficial figure",""
"GR","Rice Cultivation","356","India","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","4750.2","E","Estimated value",""
"GR","Rice Cultivation","360","Indonesia","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","11797000","E","Estimated value",""
"GR","Rice Cultivation","360","Indonesia","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","2494.2161","E","Estimated value",""
"GR","Rice Cultivation","360","Indonesia","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","10657275","A","Official figure",""
"GR","Rice Cultivation","360","Indonesia","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","2253.2463","E","Estimated value",""
"GR","Rice Cultivation","364","Iran (Islamic Republic of)","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","563517","A","Official figure",""
"GR","Rice Cultivation","364","Iran (Islamic Republic of)","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","123.861","E","Estimated value",""
"GR","Rice Cultivation","364","Iran (Islamic Republic of)","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","422746","I","Imputed value",""
"GR","Rice Cultivation","364","Iran (Islamic Republic of)","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","92.9196","E","Estimated value",""
"GR","Rice Cultivation","368","Iraq","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","47974","A","Official figure",""
"GR","Rice Cultivation","368","Iraq","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","13.4327","E","Estimated value",""
"GR","Rice Cultivation","368","Iraq","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","101716","A","Official figure",""
"GR","Rice Cultivation","368","Iraq","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","28.4805","E","Estimated value",""
"GR","Rice Cultivation","392","Japan","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","1643000","T","Unofficial figure",""
"GR","Rice Cultivation","392","Japan","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","341.5797","E","Estimated value",""
"GR","Rice Cultivation","392","Japan","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","1462000","A","Official figure",""
"GR","Rice Cultivation","392","Japan","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","303.9498","E","Estimated value",""
"GR","Rice Cultivation","398","Kazakhstan","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","94000","A","Official figure",""
"GR","Rice Cultivation","398","Kazakhstan","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","20.6612","E","Estimated value",""
"GR","Rice Cultivation","398","Kazakhstan","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","102278","A","Official figure",""
"GR","Rice Cultivation","398","Kazakhstan","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","22.4807","E","Estimated value",""
"GR","Rice Cultivation","417","Kyrgyzstan","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","6334","A","Official figure",""
"GR","Rice Cultivation","417","Kyrgyzstan","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","1.3922","E","Estimated value",""
"GR","Rice Cultivation","417","Kyrgyzstan","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","11927","A","Official figure",""
"GR","Rice Cultivation","417","Kyrgyzstan","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","2.6216","E","Estimated value",""
"GR","Rice Cultivation","418","Lao People's Democratic Republic","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","855114","A","Official figure",""
"GR","Rice Cultivation","418","Lao People's Democratic Republic","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","84.0155","E","Estimated value",""
"GR","Rice Cultivation","418","Lao People's Democratic Republic","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","821188","I","Imputed value",""
"GR","Rice Cultivation","418","Lao People's Democratic Republic","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","80.6822","E","Estimated value",""
"GR","Rice Cultivation","458","Malaysia","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","677884","A","Official figure",""
"GR","Rice Cultivation","458","Malaysia","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","121.2851","E","Estimated value",""
"GR","Rice Cultivation","458","Malaysia","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","645511","A","Official figure",""
"GR","Rice Cultivation","458","Malaysia","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","115.493","E","Estimated value",""
"GR","Rice Cultivation","104","Myanmar","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","8011164","A","Official figure",""
"GR","Rice Cultivation","104","Myanmar","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","1253.7279","E","Estimated value",""
"GR","Rice Cultivation","104","Myanmar","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","6655811","I","Imputed value",""
"GR","Rice Cultivation","104","Myanmar","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","1041.6184","E","Estimated value",""
"GR","Rice Cultivation","524","Nepal","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","1481289","A","Official figure",""
"GR","Rice Cultivation","524","Nepal","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","155.1206","E","Estimated value",""
"GR","Rice Cultivation","524","Nepal","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","1458915","A","Official figure",""
"GR","Rice Cultivation","524","Nepal","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","152.7776","E","Estimated value",""
"GR","Rice Cultivation","586","Pakistan","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","2365300","A","Official figure",""
"GR","Rice Cultivation","586","Pakistan","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","331.142","E","Estimated value",""
"GR","Rice Cultivation","586","Pakistan","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","3335105","A","Official figure",""
"GR","Rice Cultivation","586","Pakistan","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","466.9147","E","Estimated value",""
"GR","Rice Cultivation","608","Philippines","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","4354161","A","Official figure",""
"GR","Rice Cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","1456.7499","E","Estimated value",""
"GR","Rice Cultivation","608","Philippines","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","4718896","A","Official figure",""
"GR","Rice Cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","1578.7774","E","Estimated value",""
"GR","Rice Cultivation","410","Republic of Korea","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","892074","A","Official figure",""
"GR","Rice Cultivation","410","Republic of Korea","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","187.3355","E","Estimated value",""
"GR","Rice Cultivation","410","Republic of Korea","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","726432","A","Official figure",""
"GR","Rice Cultivation","410","Republic of Korea","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","152.5507","E","Estimated value",""
"GR","Rice Cultivation","682","Saudi Arabia","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","0","I","Imputed value",""
"GR","Rice Cultivation","682","Saudi Arabia","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GR","Rice Cultivation","682","Saudi Arabia","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","0","I","Imputed value",""
"GR","Rice Cultivation","682","Saudi Arabia","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GR","Rice Cultivation","144","Sri Lanka","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","1060360","A","Official figure",""
"GR","Rice Cultivation","144","Sri Lanka","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","113.1192","E","Estimated value",""
"GR","Rice Cultivation","144","Sri Lanka","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","1066403","A","Official figure",""
"GR","Rice Cultivation","144","Sri Lanka","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","113.7639","E","Estimated value",""
"GR","Rice Cultivation","762","Tajikistan","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","14854","A","Official figure",""
"GR","Rice Cultivation","762","Tajikistan","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","3.2649","E","Estimated value",""
"GR","Rice Cultivation","762","Tajikistan","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","11148","I","Imputed value",""
"GR","Rice Cultivation","762","Tajikistan","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","2.4503","E","Estimated value",""
"GR","Rice Cultivation","764","Thailand","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","11932320","A","Official figure",""
"GR","Rice Cultivation","764","Thailand","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","1908.4075","E","Estimated value",""
"GR","Rice Cultivation","764","Thailand","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","10401653","A","Official figure",""
"GR","Rice Cultivation","764","Thailand","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","1663.5988","E","Estimated value",""
"GR","Rice Cultivation","626","Timor-Leste","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","36548","A","Official figure",""
"GR","Rice Cultivation","626","Timor-Leste","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","6.7399","E","Estimated value",""
"GR","Rice Cultivation","626","Timor-Leste","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","20719","I","Imputed value",""
"GR","Rice Cultivation","626","Timor-Leste","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","3.8208","E","Estimated value",""
"GR","Rice Cultivation","792","Türkiye","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","98966","A","Official figure",""
"GR","Rice Cultivation","792","Türkiye","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","27.7105","E","Estimated value",""
"GR","Rice Cultivation","792","Türkiye","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","125398","A","Official figure",""
"GR","Rice Cultivation","792","Türkiye","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","35.1114","E","Estimated value",""
"GR","Rice Cultivation","795","Turkmenistan","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","18000","A","Official figure",""
"GR","Rice Cultivation","795","Turkmenistan","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","3.9564","E","Estimated value",""
"GR","Rice Cultivation","795","Turkmenistan","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","137155","I","Imputed value",""
"GR","Rice Cultivation","795","Turkmenistan","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","30.1467","E","Estimated value",""
"GR","Rice Cultivation","860","Uzbekistan","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","69200","A","Official figure",""
"GR","Rice Cultivation","860","Uzbekistan","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","15.2102","E","Estimated value",""
"GR","Rice Cultivation","860","Uzbekistan","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","47425","A","Official figure",""
"GR","Rice Cultivation","860","Uzbekistan","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","10.424","E","Estimated value",""
"GR","Rice Cultivation","704","Viet Nam","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","7489400","A","Official figure",""
"GR","Rice Cultivation","704","Viet Nam","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","1321.8746","E","Estimated value",""
"GR","Rice Cultivation","704","Viet Nam","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","7222618","A","Official figure",""
"GR","Rice Cultivation","704","Viet Nam","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","1274.7877","E","Estimated value",""
